Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|Q02952|AKA12_HUMAN,-0.47245472591669035,18.728320451192683,,6.778215990661014e-05,,-0.47245472591669035,6.778215990661014e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.007359205932717673,True,Highly significant (FDR < 0.01),A-kinase anchor protein 12,AKAP12,AKAP12,Q02952,AKA12_HUMAN,SwissProt
sp|P07339|CATD_HUMAN,-0.3655452547215233,16.545207553660806,,9.247789029198777e-05,,-0.3655452547215233,9.247789029198777e-05,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Cathepsin D,CTSD,CTSD,P07339,CATD_HUMAN,SwissProt
sp|P16112|PGCA_HUMAN,0.2598484679755374,20.67795926846725,,0.00010254267282322772,,0.2598484679755374,0.00010254267282322772,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Aggrecan core protein,ACAN,ACAN,P16112,PGCA_HUMAN,SwissProt
sp|P35443|TSP4_HUMAN,-0.5872193362855619,23.776725924302543,,0.00010602246765531536,,-0.5872193362855619,0.00010602246765531536,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Thrombospondin-4,THBS4,THBS4,P35443,TSP4_HUMAN,SwissProt
sp|P51693|APLP1_HUMAN,-0.3733301595627555,19.943536462813313,,0.00010605959374565678,,-0.3733301595627555,0.00010605959374565678,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Amyloid beta precursor like protein 1,APLP1,APLP1,P51693,APLP1_HUMAN,SwissProt
sp|P02751|FINC_HUMAN,2.2579253679362576,26.713473527181176,,0.00010658881764976792,,2.2579253679362576,0.00010658881764976792,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Fibronectin,FN1,FN1,P02751,FINC_HUMAN,SwissProt
sp|O95197|RTN3_HUMAN,0.5136149999975612,12.447774841073237,,0.00011069233473509366,,0.5136149999975612,0.00011069233473509366,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Reticulon-3,RTN3,RTN3,O95197,RTN3_HUMAN,SwissProt
sp|P02774|VTDB_HUMAN,0.7158150970652444,19.594821998431744,,0.00011428798217275836,,0.7158150970652444,0.00011428798217275836,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Vitamin D-binding protein,GC,GC,P02774,VTDB_HUMAN,SwissProt
sp|Q02388|CO7A1_HUMAN,-0.9284954943209573,11.320329022057246,,0.00011440365434019867,,-0.9284954943209573,0.00011440365434019867,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Collagen alpha-1(VII) chain,COL7A1,COL7A1,Q02388,CO7A1_HUMAN,SwissProt
sp|P07942|LAMB1_HUMAN,-0.3965827242729564,19.824132406694414,,0.00011547033383240636,,-0.3965827242729564,0.00011547033383240636,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Laminin subunit beta-1,LAMB1,LAMB1,P07942,LAMB1_HUMAN,SwissProt
sp|P56202|CATW_HUMAN,-0.29545575986726613,16.92756533549665,,0.00011817884288076339,,-0.29545575986726613,0.00011817884288076339,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008691863282843243,True,Highly significant (FDR < 0.01),Cathepsin W,CTSW,CTSW,P56202,CATW_HUMAN,SwissProt
sp|P01701|LV151_HUMAN,0.4769306199566942,17.029322553450402,,0.00012388851710298053,,0.4769306199566942,0.00012388851710298053,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008796250469931707,True,Highly significant (FDR < 0.01),Immunoglobulin lambda variable 1-51,IGLV1-51,IGLV1-51,P01701,LV151_HUMAN,SwissProt
sp|P01023|A2MG_HUMAN,0.8079899130186488,24.851955377753562,,0.00012731415153848522,,0.8079899130186488,0.00012731415153848522,,,,,,,29,Mixed-effects model (Wald F-test on time),0.008796250469931707,True,Highly significant (FDR < 0.01),Alpha-2-macroglobulin,A2M,A2M,P01023,A2MG_HUMAN,SwissProt
sp|P84098|RL19_HUMAN,1.3069831938152934,11.36862848212668,,0.00014174082845666116,,1.3069831938152934,0.00014174082845666116,,,,,,,29,Mixed-effects model (Wald F-test on time),0.009273936728089896,True,Highly significant (FDR < 0.01),Large ribosomal subunit protein eL19,RPL19,RPL19,P84098,RL19_HUMAN,SwissProt
sp|P02671|FIBA_HUMAN,1.2220105314285914,23.025529500763984,,0.0001423630638083975,,1.2220105314285914,0.0001423630638083975,,,,,,,29,Mixed-effects model (Wald F-test on time),0.009273936728089896,True,Highly significant (FDR < 0.01),Fibrinogen alpha chain,FGA,FGA,P02671,FIBA_HUMAN,SwissProt
sp|P15941|MUC1_HUMAN,-0.3314466360504887,13.114557759180547,,0.00015300330688938917,,-0.3314466360504887,0.00015300330688938917,,,,,,,29,Mixed-effects model (Wald F-test on time),0.00969020943632798,True,Highly significant (FDR < 0.01),Mucin-1,MUC1,MUC1,P15941,MUC1_HUMAN,SwissProt
sp|P02741|CRP_HUMAN,-1.0120472837649188,19.0412569321489,,0.000159397599816055,,-1.0120472837649188,0.000159397599816055,,,,,,,29,Mixed-effects model (Wald F-test on time),0.009822338583259607,True,Highly significant (FDR < 0.01),C-reactive protein,CRP,CRP,P02741,CRP_HUMAN,SwissProt
sp|P39059|COFA1_HUMAN,-0.4584385486913239,14.246525632486303,,0.00017806971928669874,,-0.4584385486913239,0.00017806971928669874,,,,,,,29,Mixed-effects model (Wald F-test on time),0.010490243533681153,True,Significant (FDR < 0.05),Collagen alpha-1(XV) chain,COL15A1,COL15A1,P39059,COFA1_HUMAN,SwissProt
sp|Q6UXH0|ANGL8_HUMAN,0.8937005202488552,14.247664113163308,,0.00017943837623401974,,0.8937005202488552,0.00017943837623401974,,,,,,,29,Mixed-effects model (Wald F-test on time),0.010490243533681153,True,Significant (FDR < 0.05),Angiopoietin-like protein 8,ANGPTL8,ANGPTL8,Q6UXH0,ANGL8_HUMAN,SwissProt
sp|Q04446|GLGB_HUMAN,0.9135635353428408,12.888771917239511,,0.00019085199267106432,,0.9135635353428408,0.00019085199267106432,,,,,,,29,Mixed-effects model (Wald F-test on time),0.010805575966216249,True,Significant (FDR < 0.05),"1,4-alpha-glucan-branching enzyme",GBE1,GBE1,Q04446,GLGB_HUMAN,SwissProt
sp|Q8N699|MYCT1_HUMAN,0.30399048588630934,16.11237815002036,,0.00019431079588371326,,0.30399048588630934,0.00019431079588371326,,,,,,,29,Mixed-effects model (Wald F-test on time),0.010805575966216249,True,Significant (FDR < 0.05),Myc target protein 1,MYCT1,MYCT1,Q8N699,MYCT1_HUMAN,SwissProt
sp|P18065|IBP2_HUMAN,0.7067960438402979,14.325340663085099,,0.0002105761233374061,,0.7067960438402979,0.0002105761233374061,,,,,,,29,Mixed-effects model (Wald F-test on time),0.011431275266887761,True,Significant (FDR < 0.05),Insulin-like growth factor-binding protein 2,IGFBP2,IGFBP2,P18065,IBP2_HUMAN,SwissProt
sp|P35442|TSP2_HUMAN,0.3162732896557247,19.656650735196134,,0.0002383155355361469,,0.3162732896557247,0.0002383155355361469,,,,,,,29,Mixed-effects model (Wald F-test on time),0.01263626560517244,True,Significant (FDR < 0.05),Thrombospondin-2,THBS2,THBS2,P35442,TSP2_HUMAN,SwissProt
sp|P00488|F13A_HUMAN,1.3376810533399497,20.869398852737017,,0.0002462046196838751,,1.3376810533399497,0.0002462046196838751,,,,,,,29,Mixed-effects model (Wald F-test on time),0.012757875747255345,True,Significant (FDR < 0.05),Coagulation factor XIII A chain,F13A1,F13A1,P00488,F13A_HUMAN,SwissProt
sp|P02790|HEMO_HUMAN,1.001449030658564,20.264761390977334,,0.0002753871996109742,,1.001449030658564,0.0002753871996109742,,,,,,,29,Mixed-effects model (Wald F-test on time),0.013317504385713937,True,Significant (FDR < 0.05),Hemopexin,HPX,HPX,P02790,HEMO_HUMAN,SwissProt
sp|P78536|ADA17_HUMAN,1.084343074066222,10.741725481542732,,0.0002757349616616226,,1.084343074066222,0.0002757349616616226,,,,,,,29,Mixed-effects model (Wald F-test on time),0.013317504385713937,True,Significant (FDR < 0.05),Disintegrin and metalloproteinase domain-containing protein 17,ADAM17,ADAM17,P78536,ADA17_HUMAN,SwissProt
sp|P02750|A2GL_HUMAN,0.8204028124498668,15.445847680330184,,0.0002767600090269138,,0.8204028124498668,0.0002767600090269138,,,,,,,29,Mixed-effects model (Wald F-test on time),0.013317504385713937,True,Significant (FDR < 0.05),Leucine-rich alpha-2-glycoprotein,LRG1,LRG1,P02750,A2GL_HUMAN,SwissProt
sp|P05121|PAI1_HUMAN,0.16724570391474258,18.211279907664156,,0.0002846785581944852,,0.16724570391474258,0.0002846785581944852,,,,,,,29,Mixed-effects model (Wald F-test on time),0.013317504385713937,True,Significant (FDR < 0.05),Plasminogen activator inhibitor 1,SERPINE1,SERPINE1,P05121,PAI1_HUMAN,SwissProt
sp|P61952|GBG11_HUMAN,-0.6750195147592128,15.213096694785488,,0.0002862095240789399,,-0.6750195147592128,0.0002862095240789399,,,,,,,29,Mixed-effects model (Wald F-test on time),0.013317504385713937,True,Significant (FDR < 0.05),Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11,GNG11,GNG11,P61952,GBG11_HUMAN,SwissProt
sp|P02787|TRFE_HUMAN,0.8936778971586756,22.81212928752648,,0.00031582793562471943,,0.8936778971586756,0.00031582793562471943,,,,,,,29,Mixed-effects model (Wald F-test on time),0.014401753864487207,True,Significant (FDR < 0.05),Serotransferrin,TF,TF,P02787,TRFE_HUMAN,SwissProt
sp|Q96I82|KAZD1_HUMAN,-0.34942445646503933,15.401141760575088,,0.00033495421062454357,,-0.34942445646503933,0.00033495421062454357,,,,,,,29,Mixed-effects model (Wald F-test on time),0.014974423533803124,True,Significant (FDR < 0.05),Kazal-type serine protease inhibitor domain-containing protein 1,KAZALD1,KAZALD1,Q96I82,KAZD1_HUMAN,SwissProt
sp|P49746|TSP3_HUMAN,-0.5808597939516473,19.286383356178217,,0.00034734485656815687,,-0.5808597939516473,0.00034734485656815687,,,,,,,29,Mixed-effects model (Wald F-test on time),0.015229736018757647,True,Significant (FDR < 0.05),Thrombospondin-3,THBS3,THBS3,P49746,TSP3_HUMAN,SwissProt
sp|Q99435|NELL2_HUMAN,-0.2422829964962483,17.2526928884328,,0.00037152338617141447,,-0.2422829964962483,0.00037152338617141447,,,,,,,29,Mixed-effects model (Wald F-test on time),0.015982515480581605,True,Significant (FDR < 0.05),Protein kinase C-binding protein NELL2,NELL2,NELL2,Q99435,NELL2_HUMAN,SwissProt
sp|Q6UVK1|CSPG4_HUMAN,-0.4450350039623579,20.721866469412863,,0.00038030221052188194,,-0.4450350039623579,0.00038030221052188194,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016057204444257237,True,Significant (FDR < 0.05),Chondroitin sulfate proteoglycan 4,CSPG4,CSPG4,Q6UVK1,CSPG4_HUMAN,SwissProt
sp|P41732|TSN7_HUMAN,0.8897395697026593,10.982103050939166,,0.0003970967300492798,,0.8897395697026593,0.0003970967300492798,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016194130998814817,True,Significant (FDR < 0.05),Tetraspanin-7,TSPAN7,TSPAN7,P41732,TSN7_HUMAN,SwissProt
sp|P46776|RL27A_HUMAN,0.8443541387397031,9.84798372710604,,0.0003977505859358025,,0.8443541387397031,0.0003977505859358025,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016194130998814817,True,Significant (FDR < 0.05),Large ribosomal subunit protein uL15,RPL27A,RPL27A,P46776,RL27A_HUMAN,SwissProt
sp|Q9ULB1|NRX1A_HUMAN,0.4824770286618634,12.934498829487778,,0.0004109721411387757,,0.4824770286618634,0.0004109721411387757,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016271542919890362,True,Significant (FDR < 0.05),Neurexin-1,NRXN1,NRXN1,Q9ULB1,NRX1A_HUMAN,SwissProt
sp|P20742|PZP_HUMAN,0.744307470443232,22.423174355957528,,0.0004139252146287899,,0.744307470443232,0.0004139252146287899,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016271542919890362,True,Significant (FDR < 0.05),Pregnancy zone protein,PZP,PZP,P20742,PZP_HUMAN,SwissProt
sp|P13598|ICAM2_HUMAN,0.47855358786338764,13.509079751300872,,0.0004284669832971355,,0.47855358786338764,0.0004284669832971355,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016494184711572542,True,Significant (FDR < 0.05),Intercellular adhesion molecule 2,ICAM2,ICAM2,P13598,ICAM2_HUMAN,SwissProt
sp|P01718|LV327_HUMAN,0.6791706914420303,16.186579830082685,,0.0004371604113490997,,0.6791706914420303,0.0004371604113490997,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016494184711572542,True,Significant (FDR < 0.05),Immunoglobulin lambda variable 3-27,IGLV3-27,IGLV3-27,P01718,LV327_HUMAN,SwissProt
sp|Q14624|ITIH4_HUMAN,0.47964801569316634,23.122464712132476,,0.0004412917839499672,,0.47964801569316634,0.0004412917839499672,,,,,,,29,Mixed-effects model (Wald F-test on time),0.016494184711572542,True,Significant (FDR < 0.05),Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,ITIH4,Q14624,ITIH4_HUMAN,SwissProt
sp|P18669|PGAM1_HUMAN,-0.6893652736046797,15.441151573957484,,0.0004984501485820953,,-0.6893652736046797,0.0004984501485820953,,,,,,,29,Mixed-effects model (Wald F-test on time),0.01833010223818028,True,Significant (FDR < 0.05),Phosphoglycerate mutase 1,PGAM1,PGAM1,P18669,PGAM1_HUMAN,SwissProt
sp|A0A075B6K5|LV39_HUMAN,0.4264940103460586,18.9107137973726,,0.0005488006458033516,,0.4264940103460586,0.0005488006458033516,,,,,,,29,Mixed-effects model (Wald F-test on time),0.019861356705264153,True,Significant (FDR < 0.05),Immunoglobulin lambda variable 3-9,IGLV3-9,IGLV3-9,A0A075B6K5,LV39_HUMAN,SwissProt
sp|Q9HCU0|CD248_HUMAN,-0.5427905594744553,21.29612793763093,,0.0005607007568388229,,-0.5427905594744553,0.0005607007568388229,,,,,,,29,Mixed-effects model (Wald F-test on time),0.019974964462383064,True,Significant (FDR < 0.05),Endosialin,CD248,CD248,Q9HCU0,CD248_HUMAN,SwissProt
sp|Q02818|NUCB1_HUMAN,-0.48234952467742176,16.840323091349713,,0.0006096512666941386,,-0.48234952467742176,0.0006096512666941386,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02126055826455263,True,Significant (FDR < 0.05),Nucleobindin-1,NUCB1,NUCB1,Q02818,NUCB1_HUMAN,SwissProt
sp|P01266|THYG_HUMAN,-0.2514967937872403,16.94216129756727,,0.0006154372129212603,,-0.2514967937872403,0.0006154372129212603,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02126055826455263,True,Significant (FDR < 0.05),Thyroglobulin,TG,TG,P01266,THYG_HUMAN,SwissProt
sp|Q4ZHG4|FNDC1_HUMAN,-0.5730594543939342,15.9327892164039,,0.0006271105783767349,,-0.5730594543939342,0.0006271105783767349,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0213404793835665,True,Significant (FDR < 0.05),Fibronectin type III domain-containing protein 1,FNDC1,FNDC1,Q4ZHG4,FNDC1_HUMAN,SwissProt
sp|P02743|SAMP_HUMAN,0.49814666431422167,19.879226418605548,,0.00067330113176546,,0.49814666431422167,0.00067330113176546,,,,,,,29,Mixed-effects model (Wald F-test on time),0.022575390888606602,True,Significant (FDR < 0.05),Serum amyloid P-component,APCS,APCS,P02743,SAMP_HUMAN,SwissProt
sp|P12429|ANXA3_HUMAN,0.4864265973792372,16.620227721250508,,0.0006900096271116267,,0.4864265973792372,0.0006900096271116267,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02270931301586776,True,Significant (FDR < 0.05),Annexin A3,ANXA3,ANXA3,P12429,ANXA3_HUMAN,SwissProt
sp|Q14766|LTBP1_HUMAN,0.28484014534654717,23.627948874793233,,0.000697215750487168,,0.28484014534654717,0.000697215750487168,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02270931301586776,True,Significant (FDR < 0.05),Latent-transforming growth factor beta-binding protein 1,LTBP1,LTBP1,Q14766,LTBP1_HUMAN,SwissProt
sp|Q9H0X4|F234A_HUMAN,-0.5663512801564408,11.4578335967202,,0.0007169278619230525,,-0.5663512801564408,0.0007169278619230525,,,,,,,29,Mixed-effects model (Wald F-test on time),0.023022472185698025,True,Significant (FDR < 0.05),Protein FAM234A,FAM234A,FAM234A,Q9H0X4,F234A_HUMAN,SwissProt
sp|P00748|FA12_HUMAN,0.6423735387133873,17.321947647429848,,0.0007415372224782411,,0.6423735387133873,0.0007415372224782411,,,,,,,29,Mixed-effects model (Wald F-test on time),0.0234820120451443,True,Significant (FDR < 0.05),Coagulation factor XII,F12,F12,P00748,FA12_HUMAN,SwissProt
sp|P04275|VWF_HUMAN,0.4960288984969158,25.490933263077437,,0.0007690059739179266,,0.4960288984969158,0.0007690059739179266,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02401826877442291,True,Significant (FDR < 0.05),von Willebrand factor,VWF,VWF,P04275,VWF_HUMAN,SwissProt
sp|O60312|AT10A_HUMAN,0.7592714181846043,12.570376556642728,,0.0007972366872119209,,0.7592714181846043,0.0007972366872119209,,,,,,,29,Mixed-effects model (Wald F-test on time),0.024563508741124052,True,Significant (FDR < 0.05),Phospholipid-transporting ATPase VA,ATP10A,ATP10A,O60312,AT10A_HUMAN,SwissProt
sp|P02768|ALBU_HUMAN,0.7370940914201043,26.26046399890171,,0.0008983552499356763,,0.7370940914201043,0.0008983552499356763,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02730999959804456,True,Significant (FDR < 0.05),Albumin,ALB,ALB,P02768,ALBU_HUMAN,SwissProt
sp|A0M8Q6|IGLC7_HUMAN,0.3162537578696296,24.402739976040905,,0.0009275158515193126,,0.3162537578696296,0.0009275158515193126,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02782547554557938,True,Significant (FDR < 0.05),Immunoglobulin lambda constant 7,IGLC7,IGLC7,A0M8Q6,IGLC7_HUMAN,SwissProt
sp|Q13838|DX39B_HUMAN / sp|O00148|DX39A_HUMAN,1.1808089178178958,10.606740219364738,,0.0009592170730770569,,1.1808089178178958,0.0009592170730770569,,,,,,,29,Mixed-effects model (Wald F-test on time),0.02840279125474922,True,Significant (FDR < 0.05),Spliceosome RNA helicase DDX39B,DDX39B / DDX39A,DDX39B / DDX39A,Q13838,,
sp|A0A075B6R9|KVD24_HUMAN / sp|A0A0C4DH68|KV224_HUMAN,0.530067921227956,17.65799172782096,,0.0010558218749456172,,0.530067921227956,0.0010558218749456172,,,,,,,29,Mixed-effects model (Wald F-test on time),0.03070363492521699,True,Significant (FDR < 0.05),Probable non-functional immunoglobulin kappa variable 2D-24,IGKV2D-24 / IGKV2-24,IGKV2D-24 / IGKV2-24,A0A075B6R9,,
sp|P07478|TRY2_HUMAN,0.7714198719932464,14.42984255192032,,0.0010638540171456763,,0.7714198719932464,0.0010638540171456763,,,,,,,29,Mixed-effects model (Wald F-test on time),0.03070363492521699,True,Significant (FDR < 0.05),Trypsin-2,PRSS2,PRSS2,P07478,TRY2_HUMAN,SwissProt
sp|Q6UX06|OLFM4_HUMAN,0.9559826017253996,11.558229672093486,,0.001259605003068596,,0.9559826017253996,0.001259605003068596,,,,,,,29,Mixed-effects model (Wald F-test on time),0.035898742587454985,True,Significant (FDR < 0.05),Olfactomedin-4,OLFM4,OLFM4,Q6UX06,OLFM4_HUMAN,SwissProt
sp|P10451|OSTP_HUMAN,-0.5078822197933363,15.841529521077412,,0.0013025882555823827,,-0.5078822197933363,0.0013025882555823827,,,,,,,29,Mixed-effects model (Wald F-test on time),0.03646874526299078,True,Significant (FDR < 0.05),Osteopontin,SPP1,SPP1,P10451,OSTP_HUMAN,SwissProt
sp|Q86Y38|XYLT1_HUMAN,-0.2369787961948491,14.092857169496712,,0.001311595224370721,,-0.2369787961948491,0.001311595224370721,,,,,,,29,Mixed-effects model (Wald F-test on time),0.03646874526299078,True,Significant (FDR < 0.05),Xylosyltransferase 1,XYLT1,XYLT1,Q86Y38,XYLT1_HUMAN,SwissProt
